1021203012000193059611731     Linha Reta Centro Automotivo Ltda EPetrolina                     PE87398322442017010120180103331
11Av Integração                     00367                      Maria Auxiliado56330290BEATRIZ MARIA LEAL BORGES MA087988496357
50105720140005671             20170102PE551  0007375405P000000003960000000000000000000000000000000000000000000000000000000000N
5410572014000567551  00073754055000011660          000000010000000000033840000000006160000000000000000000000000000000000000000
5410572014000567551  0007375405500001572           000000070000000000165780000000030220000000000000000000000000000000000000000
5410572014000567551  00073754055000011222          000000010000000000026050000000004750000000000000000000000000000000000000000
5410572014000567551  0007375405500001835           000000010000000000025870000000004710000000000000000000000000000000000000000
5410572014000567551  00073754055000011660          000000010000000000033830000000006170000000000000000000000000000000000000000
5410572014000567551  00073754055000011222          000000010000000000026050000000004750000000000000000000000000000000000000000
5410572014000567551  00073754055000013947          000000010000000000084580000000015420000000000000000000000000000000000000000
5411564368000441551  0007385405500001572           000000035000000000122500000000000000000000000000000000000000000000000000000
5411564368000441551  00073854055000011633          000000010000000000017620000000000000000000000000000000000000000000000000000
5407063698000133551  0007396404500001604           000000010000000000022660000000000000000000000000000000000000000000000000000
5407063698000133551  00073964045000012062          000000010000000000024200000000000000000000000000000000000000000000000000000
5407063698000133551  0007396404500001508           000000010000000000024240000000000000000000000000000000000000000000000000000
5407063698000133551  0007396404500001572           000000030000000000111000000000000000000000000000000000000000000000000000000
5407063698000133551  00073964045000011010          000000010000000000027500000000000000000000000000000000000000000000000000000
5407063698000133551  00074064045000011156          000000010000000000088000000000000000000000000000000000000000000000000000000
5407063698000133551  00074064045000013120          000000010000000000124300000000000000000000000000000000000000000000000000000
5407063698000133551  00074064045000011381          000000040000000000060000000000000000000000000000000000000000000000000000000
5407063698000133551  00074064045000011895          000000020000000000010000000000000000000000000000000000000000000000000000000
5407063698000133551  00074064045000011447          000000010000000000060500000000000000000000000000000000000000000000000000000
5407063698000133551  0007406404500001572           000000060000000000263700000000000000000000000000000000000000000000000000000
5454337514000166551  0007416404500001508           000000010000000000020680000000000000000000000000000000000000000000000000000
5454337514000166551  0007416404500001572           000000030000000000105000000000000000000000000000000000000000000000000000000
5454337514000166551  00074164045000013857          000000010000000000036850000000000000000000000000000000000000000000000000000
5454337514000166551  00074164045000012202          000000010000000000040540000000000000000000000000000000000000000000000000000
5454337514000166551  00074164045000012382          000000010000000000038410000000000000000000000000000000000000000000000000000
5454337514000166551  00074164045000012182          000000010000000000180000000000000000000000000000000000000000000000000000000
5454337514000166551  0007416404500001636           000000010000000000030180000000000000000000000000000000000000000000000000000
5454337514000166551  00074164045000013504          000000020000000000651000000000000000000000000000000000000000000000000000000
5454337514000166551  00074264045000014362          000000010000000000700000000000000000000000000000000000000000000000000000000
5454337514000166551  00074264045000011248          000000020000000000060000000000000000000000000000000000000000000000000000000
5407063698000133551  00074364045000014195          000000020000000000010000000000000200000000000000000000000000000000000000000
5407063698000133551  0007446404500001572           000000030000000000111000000000000000000000000000000000000000000000000000000
5407063698000133551  00074464045000014291          000000010000000000004350000000000000000000000000000000000000000000000000000
5407063698000133551  00074464045000012060          000000010000000000031400000000000000000000000000000000000000000000000000000
5407063698000133551  00074464045000012062          000000010000000000024200000000000000000000000000000000000000000000000000000
5407063698000133551  0007446404500001508           000000010000000000024240000000000000000000000000000000000000000000000000000
5407063698000133551  00074564045000014408          000000010000000002751000000000000000000000000000000000000000000000000000000
5410215988000160551  00074664045000012392          000000010000000000307430000000002570000000000000000000000000000000000000000
5410215988000160551  00074664045000013855          000000040000000000003970000000000030000000000000000000000000000000000000000
5410215988000160551  000746640450000158            000000010000000000036350000000000300000000000000000000000000000000000000000
5410215988000160551  00074664045000013857          000000010000000000047600000000000400000000000000000000000000000000000000000
5410215988000160551  0007466404500001572           000000030000000000083300000000000700000000000000000000000000000000000000000
5435329242000108551  00074754055000014382          000000010000000000411000000000000000000000000000000000000000000000000000000
5435329242000108551  00074754055000014345          000000040000000000120000000000000000000000000000000000000000000000000000000
5435329242000108551  00074754055000011227          000000010000000000144000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011532          000000010000000000709120000000000000000000000000000000000000000000000000000
5407063698000133551  0007486404500001268           000000010000000000122000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011447          000000010000000000060500000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000014195          000000020000000000010000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011381          000000040000000000060000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011904          000000010000000000060000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000013120          000000010000000000124300000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011154          000000020000000000440000000000000000000000000000000000000000000000000000000
5407063698000133551  0007486404500001572           000000060000000000263700000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011156          000000010000000000088000000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000013075          000000010000000000200830000000000000000000000000000000000000000000000000000
5407063698000133551  00074864045000011971          000000060000000000270000000000000000000000000000000000000000000000000000000
5407063698000133551  00074964045000014404          000000010000000000591670000000000000000000000000000000000000000000000000000
5407063698000133551  00074964045000012436          000000010000000000014400000000000000000000000000000000000000000000000000000
5407063698000133551  00074964045000011661          000000010000000000030000000000000000000000000000000000000000000000000000000
5400298293000135551  00075052025000014333          000000010000000000090000000000000000000000000000000000000000000000000000000
5407063698000133551  0007516404500001516           000000040000000001102400000000157600000000000000000000000000000000000000000
5407063698000133551  0007526404500001671           000000040000000000076200000000000000000000000000000000000000000000000000000
5407063698000133551  00075264045000011620          000000010000000000002400000000000000000000000000000000000000000000000000000
5407063698000133551  0007526404500001572           000000030000000000111000000000000000000000000000000000000000000000000000000
5407063698000133551  00075264045000013729          000000010000000000024200000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000011904          000000010000000000070000000000000000000000000000000000000000000000000000000
5407063698000133551  0007536404500001572           000000060000000000263700000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000011156          000000010000000000088000000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000011447          000000010000000000060500000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000011438          000000010000000000124300000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000014172          000000020000000000245300000000000000000000000000000000000000000000000000000
5407063698000133551  00075364045000011387          000000040000000000088000000000000000000000000000000000000000000000000000000
5407063698000133551  00075464045000011490          000000010000000000075720000000000000000000000000000000000000000000000000000
5407213360000110551  0007555405500001572           000000070000000000245000000000000000000000000000000000000000000000000000000
5407213360000110551  00075554055000013433          000000010000000000027100000000000000000000000000000000000000000000000000000
5407657078000122551  0007565405500001572           000000035000000000122500000000000000000000000000000000000000000000000000000
5407657078000122551  00075654055000011633          000000010000000000017620000000000000000000000000000000000000000000000000000
5407657078000122551  00075654055000014412          000000020000000000816000000000000000000000000000000000000000000000000000000
5407657078000122551  00075654055000013080          000000010000000000056100000000000000000000000000000000000000000000000000000
5407657078000122551  00075654055000013467          000000010000000000004400000000000000000000000000000000000000000000000000000
5400505735600018551  00075754055000011186          000000010000000000012000000000000000000000000000000000000000000000000000000
5400505735600018551  00075754055000011248          000000010000000000030000000000000000000000000000000000000000000000000000000
5400505735600018551  0007575405500001572           000000040000000000140000000000000000000000000000000000000000000000000000000
5400505735600018551  0007575405500001977           000000010000000000038450000000000000000000000000000000000000000000000000000
5407063698000133551  00075864045000014510          000000010000000000170610000000000000000000000000000000000000000000000000000
5406997469000123551  00075954055000012060          000000010000000000029080000000000000000000000000000000000000000000000000000
5406997469000123551  00075954055000012153          000000030000000000072000000000000000000000000000000000000000000000000000000
5406997469000123551  00075954055000012062          000000010000000000018920000000000000000000000000000000000000000000000000000
5406997469000123551  00075954055000013851          000000010000000000018000000000000000000000000000000000000000000000000000000
5424144040001732551  000760540550000175            000000020000000000416000000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014468          000000010000000000415710000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014462          000000010000000001511300000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014472          000000010000000000292400000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014466          000000010000000001241000000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014470          000000040000000000210800000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014471          000000020000000000034000000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014473          000000010000000000178500000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014472          000000010000000000292400000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014469          000000030000000000204000000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000014467          000000010000000000263500000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000013288          000000050000000000299250000000000000000000000000000000000000000000000000000
5407063698000133551  00076164045000013628          000000010000000000166540000000000000000000000000000000000000000000000000000
5407063698000133551  000762640450000161            000000010000000000023330000000001670000000000000000000000000000000000000000
5407063698000133551  00076264045000011229          000000040000000000130630000000009370000000000000000000000000000000000000000
5407063698000133551  00076264045000011092          000000010000000000299680000000021490000000000000000000000000000000000000000
5407063698000133551  0007626404500001672           000000040000000000101000000000007240000000000000000000000000000000000000000
5407063698000133551  0007626404500001800           000000010000000000146080000000010470000000000000000000000000000000000000000
5400399857002846551  00076364045000011710          000000010000000000108740000000000000000000000000000000000000000000000000000
5400399857002846551  00076364045000011714          000000010000000000183720000000000000000000000000000000000000000000000000000
5400399857002846551  00076364045000014133          000000020000000001064900000000000000000000000000000000000000000000000000000
